"long","lat","order","hole","piece","group","id"
-759891.9092,6959394.0087,76,FALSE,"1","Carlow.1","Carlow"
-755678.496,6958230.4694,77,FALSE,"1","Carlow.1","Carlow"
-753106.284,6962567.2819,78,FALSE,"1","Carlow.1","Carlow"
-751350.365,6962613.7383,79,FALSE,"1","Carlow.1","Carlow"
-749957.3391,6967428.4506,80,FALSE,"1","Carlow.1","Carlow"
-884805.619,7228050.7589,81,FALSE,"1","Cavan.1","Cavan"
-875212.7788,7226117.1317,82,FALSE,"1","Cavan.1","Cavan"
-876433.2135,7221725.8944,83,FALSE,"1","Cavan.1","Cavan"
-875162.7539,7211527.8506,84,FALSE,"1","Cavan.1","Cavan"
-869693.3593,7208413.1873,85,FALSE,"1","Cavan.1","Cavan"
-864656.4322,7210169.5903,86,FALSE,"1","Cavan.1","Cavan"
-861695.6879,7208816.9457,87,FALSE,"1","Cavan.1","Cavan"
-855624.9501,7209497.1215,88,FALSE,"1","Cavan.1","Cavan"
-854720.448,7204977.5343,89,FALSE,"1","Cavan.1","Cavan"
-852061.631,7205378.934,90,FALSE,"1","Cavan.1","Cavan"
-846692.0458,7197376.925,91,FALSE,"1","Cavan.1","Cavan"
-843155.3083,7197107.0851,92,FALSE,"1","Cavan.1","Cavan"
-842138.4645,7194258.357,93,FALSE,"1","Cavan.1","Cavan"
-840169.4894,7193492.0807,94,FALSE,"1","Cavan.1","Cavan"
-837897.0306,7196037.7352,95,FALSE,"1","Cavan.1","Cavan"
-832633.5385,7193495.1084,96,FALSE,"1","Cavan.1","Cavan"
-828319.6944,7199371.7423,97,FALSE,"1","Cavan.1","Cavan"
-824629.1554,7199733.1107,98,FALSE,"1","Cavan.1","Cavan"
-826265.4915,7196685.5351,99,FALSE,"1","Cavan.1","Cavan"
-820631.7045,7196428.6516,100,FALSE,"1","Cavan.1","Cavan"
-822404.5755,7193393.7479,101,FALSE,"1","Cavan.1","Cavan"
-819414.1044,7195086.6774,102,FALSE,"1","Cavan.1","Cavan"
-817628.6209,7192369.2317,103,FALSE,"1","Cavan.1","Cavan"
-815691.8343,7193665.3583,104,FALSE,"1","Cavan.1","Cavan"
-814610.565,7191821.0695,105,FALSE,"1","Cavan.1","Cavan"
-814242.3707,7190379.3422,106,FALSE,"1","Cavan.1","Cavan"
-811463.277,7190622.6417,107,FALSE,"1","Cavan.1","Cavan"
-808315.9393,7188010.5548,108,FALSE,"1","Cavan.1","Cavan"
-803919.1326,7189634.2494,109,FALSE,"1","Cavan.1","Cavan"
-795901.0527,7186039.8291,110,FALSE,"1","Cavan.1","Cavan"
-793697.6515,7188065.108,111,FALSE,"1","Cavan.1","Cavan"
-790544.8374,7188238.3321,112,FALSE,"1","Cavan.1","Cavan"
-788670.6958,7186029.9116,113,FALSE,"1","Cavan.1","Cavan"
-784087.6551,7189254.3465,114,FALSE,"1","Cavan.1","Cavan"
-781056.6184,7189031.8665,115,FALSE,"1","Cavan.1","Cavan"
-782114.8958,7185232.9596,116,FALSE,"1","Cavan.1","Cavan"
-777722.0228,7181883.8999,117,FALSE,"1","Cavan.1","Cavan"
-775496.7316,7177777.2006,118,FALSE,"1","Cavan.1","Cavan"
-772515.1756,7176472.5659,119,FALSE,"1","Cavan.1","Cavan"
-770891.8887,7172408.6891,120,FALSE,"1","Cavan.1","Cavan"
-766876.7246,7172336.1153,121,FALSE,"1","Cavan.1","Cavan"
-760327.1856,7157287.8822,122,FALSE,"1","Cavan.1","Cavan"
-754450.5037,7156510.2072,123,FALSE,"1","Cavan.1","Cavan"
-752745.4669,7154551.1441,124,FALSE,"1","Cavan.1","Cavan"
-753534.5707,7153253.1886,125,FALSE,"1","Cavan.1","Cavan"
-754661.6072,7154307.0176,126,FALSE,"1","Cavan.1","Cavan"
-756209.0303,7148741.973,127,FALSE,"1","Cavan.1","Cavan"
-759470.0819,7150768.8423,128,FALSE,"1","Cavan.1","Cavan"
-762069.1038,7149137.938,129,FALSE,"1","Cavan.1","Cavan"
