"","FID","LE_ID","ENGLISH","COUNTY","GUID","Pop2016","C19_P14_T","P14_100k","P14_100k_T","Ire_IncP14","EventDate"
"13",13,13260405,"STILLORGAN LEA-6","DUBLIN","2ae19629-3efc-13a3-e055-000000000001",30508,"33",108.2,"108.2",88.2,"2020/09/28 00:00:00+00"
"14",14,13260425,"SOUTH EAST INNER CITY LEA-5","DUBLIN","2ae19629-3f5b-13a3-e055-000000000001",40603,"69",169.9,"169.9",88.2,"2020/09/28 00:00:00+00"
"15",15,13260426,"NORTH INNER CITY LEA-7","DUBLIN","2ae19629-3f5c-13a3-e055-000000000001",63612,"115",180.8,"180.8",88.2,"2020/09/28 00:00:00+00"
"16",16,13150403,"BELMULLET-LEA-3","MAYO","2ae19629-3f17-13a3-e055-000000000001",12600,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"17",17,13260430,"SOUTH WEST INNER CITY LEA-5","DUBLIN","2ae19629-3ef4-13a3-e055-999660000001",42344,"80",188.9,"188.9",88.2,"2020/09/28 00:00:00+00"
"18",18,1340403,"CARRIGALINE LEA-6","CORK","2ae19629-3f66-13a3-e055-000000000001",35141,"22",62.6,"62.6",88.2,"2020/09/28 00:00:00+00"
"19",19,1390400,"CASTLECOMER LEA-6","KILKENNY","2ae19629-3f74-13a3-e055-000000000001",23581,"10",42.4,"42.4",88.2,"2020/09/28 00:00:00+00"
"20",20,13260400,"RUSH-LUSK LEA-5","DUBLIN","2ae19629-3ef7-13a3-e055-000000000001",34674,"52",150,"150",88.2,"2020/09/28 00:00:00+00"
"21",21,13150401,"CLAREMORRIS LEA-6","MAYO","2ae19629-3f15-13a3-e055-000000000001",27141,"7",25.8,"25.8",88.2,"2020/09/28 00:00:00+00"
"22",22,1370402,"KILLARNEY LEA-7","KERRY","2ae19629-3f6d-13a3-e055-000000000001",29607,"9",30.4,"30.4",88.2,"2020/09/28 00:00:00+00"
"23",23,13220420,"TRAMORE-WATERFORD CITY WEST LEA-6","WATERFORD","2ae19629-3f33-13a3-e055-000000000001",22372,"17",76,"76",88.2,"2020/09/28 00:00:00+00"
"24",24,1360404,"ATHENRY-ORANMORE LEA-7","GALWAY","2ae19629-3f4c-13a3-e055-000000000001",32833,"18",54.8,"54.8",88.2,"2020/09/28 00:00:00+00"
"25",25,1340411,"CORK CITY NORTH EAST LEA-6","CORK","2ae19629-3ef4-13a3-e055-999440000001",42169,"50",118.6,"118.6",88.2,"2020/09/28 00:00:00+00"
"26",26,13160400,"KELLS LEA-7","MEATH","2ae19629-3f18-13a3-e055-000000000001",32398,"23",71,"71",88.2,"2020/09/28 00:00:00+00"
"27",27,13240400,"GOREY LEA-6","WEXFORD","2ae19629-3f39-13a3-e055-000000000001",27351,"7",25.6,"25.6",88.2,"2020/09/28 00:00:00+00"
"28",28,1360405,"GORT-KINVARA LEA-5","GALWAY","2ae19629-3ef4-13a3-e055-999330000001",23505,"26",110.6,"110.6",88.2,"2020/09/28 00:00:00+00"
"29",29,13260416,"CLONDALKIN LEA-7","DUBLIN","2ae19629-3f55-13a3-e055-000000000001",46520,"93",199.9,"199.9",88.2,"2020/09/28 00:00:00+00"
"30",30,13180400,"BIRR LEA-6","OFFALY","2ae19629-3f21-13a3-e055-000000000001",25476,"9",35.3,"35.3",88.2,"2020/09/28 00:00:00+00"
"31",31,13250405,"BRAY EAST LEA-4","WICKLOW","2ae19629-3ef4-13a3-e055-999220000001",17127,"25",146,"146",88.2,"2020/09/28 00:00:00+00"
"32",32,1390401,"KILKENNY LEA-7","KILKENNY","2ae19629-3f75-13a3-e055-000000000001",28951,"5",17.3,"17.3",88.2,"2020/09/28 00:00:00+00"
"33",33,13130402,"LONGFORD LEA-7","LONGFORD","2ae19629-3f0f-13a3-e055-000000000001",16046,"9",56.1,"56.1",88.2,"2020/09/28 00:00:00+00"
"34",34,1380400,"MAYNOOTH LEA-5","KILDARE","2ae19629-3f6f-13a3-e055-000000000001",29730,"15",50.5,"50.5",88.2,"2020/09/28 00:00:00+00"
"35",35,13180402,"EDENDERRY LEA-6","OFFALY","2ae19629-3f23-13a3-e055-000000000001",23326,"12",51.4,"51.4",88.2,"2020/09/28 00:00:00+00"
