"","FID","LE_ID","ENGLISH","COUNTY","GUID","Pop2016","C19_P14_T","P14_100k","P14_100k_T","Ire_IncP14","EventDate"
"70",70,1320402,"BALLYJAMESDUFF LEA-6","CAVAN","2ae19629-3f2b-13a3-e055-000000000001",25802,"9",34.9,"34.9",88.2,"2020/09/28 00:00:00+00"
"71",71,1340409,"MALLOW LEA-5","CORK","2ae19629-3ef4-13a3-e055-444440000001",29157,"16",54.9,"54.9",88.2,"2020/09/28 00:00:00+00"
"72",72,1380407,"NEWBRIDGE LEA-6","KILDARE","2ae19629-3ef4-13a3-e055-777770000001",35482,"8",22.5,"22.5",88.2,"2020/09/28 00:00:00+00"
"73",73,13160405,"NAVAN LEA-7","MEATH","2ae19629-3f1d-13a3-e055-000000000001",34931,"15",42.9,"42.9",88.2,"2020/09/28 00:00:00+00"
"74",74,13190402,"ATHLONE LEA-6","ROSCOMMON","2ae19629-3f26-13a3-e055-000000000001",19979,"11",55.1,"55.1",88.2,"2020/09/28 00:00:00+00"
"75",75,13130401,"BALLYMAHON LEA-6","LONGFORD","2ae19629-3f0e-13a3-e055-000000000001",14153,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"76",76,1370405,"TRALEE LEA-7","KERRY","2ae19629-3ef4-13a3-e055-000005600001",33038,"11",33.3,"33.3",88.2,"2020/09/28 00:00:00+00"
"77",77,1360421,"GALWAY CITY CENTRAL LEA-6","GALWAY","2ae19629-3f69-13a3-e055-000000000001",26702,"19",71.2,"71.2",88.2,"2020/09/28 00:00:00+00"
"78",78,13260423,"KIMMAGE-RATHMINES LEA-6","DUBLIN","2ae19629-3f59-13a3-e055-000000000001",55861,"158",282.8,"282.8",88.2,"2020/09/28 00:00:00+00"
"79",79,13120422,"LIMERICK CITY EAST LEA-7","LIMERICK","2ae19629-3f0c-13a3-e055-000000000001",35342,"8",22.6,"22.6",88.2,"2020/09/28 00:00:00+00"
"80",80,13210406,"THURLES LEA-5","TIPPERARY","2ae19629-3ef4-13a3-e055-000005500001",19382,"7",36.1,"36.1",88.2,"2020/09/28 00:00:00+00"
"81",81,13190401,"ROSCOMMON LEA-6","ROSCOMMON","2ae19629-3f25-13a3-e055-000000000001",22734,"11",48.4,"48.4",88.2,"2020/09/28 00:00:00+00"
"82",82,1380404,"KILDARE LEA-5","KILDARE","2ae19629-3f73-13a3-e055-000000000001",25702,"7",27.2,"27.2",88.2,"2020/09/28 00:00:00+00"
"83",83,1350402,"CARNDONAGH LEA-4","DONEGAL","2ae19629-3f45-13a3-e055-000000000001",16964,"19",112,"112",88.2,"2020/09/28 00:00:00+00"
"84",84,1330401,"KILLALOE LEA-5","CLARE","2ae19629-3f60-13a3-e055-000000000001",20108,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"85",85,1340405,"BANDON - KINSALE LEA-6","CORK","2ae19629-3f68-13a3-e055-000000000001",37269,"10",26.8,"26.8",88.2,"2020/09/28 00:00:00+00"
"86",86,13190400,"BOYLE LEA-6","ROSCOMMON","2ae19629-3f24-13a3-e055-000000000001",21831,"43",197,"197",88.2,"2020/09/28 00:00:00+00"
"87",87,13260427,"CLONTARF LEA-6","DUBLIN","2ae19629-3f5d-13a3-e055-000000000001",54182,"83",153.2,"153.2",88.2,"2020/09/28 00:00:00+00"
"88",88,13220401,"PORTLAW-KILMACTHOMAS LEA-5","WATERFORD","2ae19629-3f32-13a3-e055-000000000001",17120,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"89",89,13220402,"LISMORE LEA-3","WATERFORD","2ae19629-3ef4-13a3-e055-000005300001",10724,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"90",90,1380403,"ATHY LEA-5","KILDARE","2ae19629-3f72-13a3-e055-000000000001",26541,"12",45.2,"45.2",88.2,"2020/09/28 00:00:00+00"
"91",91,13110401,"BALLINAMORE-LEA-6","LEITRIM","2ae19629-3f05-13a3-e055-000000000001",9862,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"92",92,13120420,"LIMERICK CITY WEST LEA-7","LIMERICK","2ae19629-3f0a-13a3-e055-000000000001",34896,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"93",93,13240405,"ENNISCORTHY LEA-6","WEXFORD","2ae19629-3ef4-13a3-e055-999550000001",27253,"17",62.4,"62.4",88.2,"2020/09/28 00:00:00+00"
"94",94,13150405,"SWINFORD LEA-4","MAYO","2ae19629-3ef4-13a3-e055-999110000001",17286,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"95",95,1370404,"CORCA DHUIBHNE LEA-3","KERRY","2ae19629-3ef4-13a3-e055-883360000001",14181,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"96",96,13150404,"WESTPORT LEA-4","MAYO","2ae19629-3ef4-13a3-e055-111110000001",18378,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"97",97,13110402,"CARRICK-ON-SHANNON LEA-6","LEITRIM","2ae19629-3f06-13a3-e055-000000000001",11361,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"98",98,13260408,"KILLINEY-SHANKILL LEA-7","DUBLIN","2ae19629-3f40-13a3-e055-000000000001",38082,"26",68.3,"68.3",88.2,"2020/09/28 00:00:00+00"
"99",99,13260415,"TALLAGHT SOUTH LEA-5","DUBLIN","2ae19629-3f54-13a3-e055-000000000001",35465,"64",180.5,"180.5",88.2,"2020/09/28 00:00:00+00"
"100",100,13210407,"CAHIR LEA-4","TIPPERARY","2ae19629-3ef4-13a3-e055-000005400001",14717,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"101",101,13260407,"GLENCULLEN-SANDYFORD LEA-7","DUBLIN","2ae19629-3f3f-13a3-e055-000000000001",36622,"40",109.2,"109.2",88.2,"2020/09/28 00:00:00+00"
"102",102,13260429,"ARTANE-WHITEHALL LEA-6","DUBLIN","2ae19629-3ef4-13a3-e055-000005200001",51156,"72",140.7,"140.7",88.2,"2020/09/28 00:00:00+00"
"103",103,13170401,"CARRICKMACROSS-CASTLEBLAYNEY LEA-6","MONAGHAN","2ae19629-3f1f-13a3-e055-000000000001",21436,"24",112,"112",88.2,"2020/09/28 00:00:00+00"
"104",104,13200401,"SLIGO-DRUMCLIFF LEA-5","SLIGO","2ae19629-3f28-13a3-e055-000000000001",17675,"6",33.9,"33.9",88.2,"2020/09/28 00:00:00+00"
"105",105,13260401,"SWORDS LEA-7","DUBLIN","2ae19629-3ef8-13a3-e055-000000000001",51370,"88",171.3,"171.3",88.2,"2020/09/28 00:00:00+00"
"106",106,1330402,"SHANNON LEA-7","CLARE","2ae19629-3f61-13a3-e055-000000000001",30397,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"107",107,1340413,"CORK CITY SOUTH CENTRAL LEA-6","CORK","2ae19629-3ef4-13a3-e055-000001100001",38667,"43",111.2,"111.2",88.2,"2020/09/28 00:00:00+00"
